V (V),QB vs Q (V),V (V),Q vs QB (V)
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
1.100,55.55E-9,55.55E-9,1.100
