corner,wn_store,wp_store,wn_access,temp,vdd,leakage_power_W
tt,1.2e-07,1.2e-07,1.2e-07,-40,1,3.96072e-11
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.05,4.15876e-11
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.1,4.35679e-11
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.15,4.55483e-11
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.2,4.75287e-11
tt,1.2e-07,1.2e-07,1.2e-07,0,1,4.21372e-11
tt,1.2e-07,1.2e-07,1.2e-07,0,1.05,4.4244e-11
tt,1.2e-07,1.2e-07,1.2e-07,0,1.1,4.63509e-11
tt,1.2e-07,1.2e-07,1.2e-07,0,1.15,4.84577e-11
tt,1.2e-07,1.2e-07,1.2e-07,0,1.2,5.05646e-11
tt,1.2e-07,1.2e-07,1.2e-07,27,1,4.84138e-11
tt,1.2e-07,1.2e-07,1.2e-07,27,1.05,5.08345e-11
tt,1.2e-07,1.2e-07,1.2e-07,27,1.1,5.32552e-11
tt,1.2e-07,1.2e-07,1.2e-07,27,1.15,5.56759e-11
tt,1.2e-07,1.2e-07,1.2e-07,27,1.2,5.80966e-11
tt,1.2e-07,1.2e-07,1.2e-07,85,1,1.05824e-10
tt,1.2e-07,1.2e-07,1.2e-07,85,1.05,1.11115e-10
tt,1.2e-07,1.2e-07,1.2e-07,85,1.1,1.16406e-10
tt,1.2e-07,1.2e-07,1.2e-07,85,1.15,1.21697e-10
tt,1.2e-07,1.2e-07,1.2e-07,85,1.2,1.26989e-10
tt,1.2e-07,1.2e-07,1.2e-07,125,1,2.31238e-10
tt,1.2e-07,1.2e-07,1.2e-07,125,1.05,2.428e-10
tt,1.2e-07,1.2e-07,1.2e-07,125,1.1,2.54362e-10
tt,1.2e-07,1.2e-07,1.2e-07,125,1.15,2.65924e-10
tt,1.2e-07,1.2e-07,1.2e-07,125,1.2,2.77486e-10
tt,1.2e-07,1.6e-07,1.2e-07,-40,1,4.56971e-11
tt,1.2e-07,1.6e-07,1.2e-07,-40,1.05,4.79819e-11
tt,1.2e-07,1.6e-07,1.2e-07,-40,1.1,5.02668e-11
tt,1.2e-07,1.6e-07,1.2e-07,-40,1.15,5.25516e-11
tt,1.2e-07,1.6e-07,1.2e-07,-40,1.2,5.48365e-11
tt,1.2e-07,1.6e-07,1.2e-07,0,1,4.82392e-11
tt,1.2e-07,1.6e-07,1.2e-07,0,1.05,5.06512e-11
tt,1.2e-07,1.6e-07,1.2e-07,0,1.1,5.30631e-11
tt,1.2e-07,1.6e-07,1.2e-07,0,1.15,5.54751e-11
tt,1.2e-07,1.6e-07,1.2e-07,0,1.2,5.78871e-11
tt,1.2e-07,1.6e-07,1.2e-07,27,1,5.44845e-11
tt,1.2e-07,1.6e-07,1.2e-07,27,1.05,5.72087e-11
tt,1.2e-07,1.6e-07,1.2e-07,27,1.1,5.99329e-11
tt,1.2e-07,1.6e-07,1.2e-07,27,1.15,6.26571e-11
tt,1.2e-07,1.6e-07,1.2e-07,27,1.2,6.53814e-11
tt,1.2e-07,1.6e-07,1.2e-07,85,1,1.11729e-10
