wn_store,wp_store,wn_access,temp,leakage_power_W
1.2e-07,1.2e-07,1.2e-07,-40,4.35679e-11
1.2e-07,1.2e-07,1.2e-07,0,4.63509e-11
1.2e-07,1.2e-07,1.2e-07,27,5.32552e-11
1.2e-07,1.2e-07,1.2e-07,85,1.16406e-10
1.2e-07,1.2e-07,1.2e-07,125,2.54362e-10
1.2e-07,1.6e-07,1.2e-07,-40,5.02668e-11
1.2e-07,1.6e-07,1.2e-07,0,5.30631e-11
1.2e-07,1.6e-07,1.2e-07,27,5.99329e-11
1.2e-07,1.6e-07,1.2e-07,85,1.22902e-10
1.2e-07,1.6e-07,1.2e-07,125,2.61291e-10
1.2e-07,2e-07,1.2e-07,-40,5.69644e-11
1.2e-07,2e-07,1.2e-07,0,5.98208e-11
1.2e-07,2e-07,1.2e-07,27,6.67996e-11
1.2e-07,2e-07,1.2e-07,85,1.31084e-10
1.2e-07,2e-07,1.2e-07,125,2.73301e-10
1.2e-07,2.4e-07,1.2e-07,-40,6.36598e-11
1.2e-07,2.4e-07,1.2e-07,0,6.65937e-11
1.2e-07,2.4e-07,1.2e-07,27,7.37354e-11
1.2e-07,2.4e-07,1.2e-07,85,1.39901e-10
1.2e-07,2.4e-07,1.2e-07,125,2.87237e-10
1.2e-07,2.8e-07,1.2e-07,-40,7.03535e-11
1.2e-07,2.8e-07,1.2e-07,0,7.33732e-11
1.2e-07,2.8e-07,1.2e-07,27,8.07034e-11
1.2e-07,2.8e-07,1.2e-07,85,1.49021e-10
1.2e-07,2.8e-07,1.2e-07,125,3.02094e-10
1.2e-07,3.2e-07,1.2e-07,-40,7.69879e-11
1.2e-07,3.2e-07,1.2e-07,0,8.00962e-11
1.2e-07,3.2e-07,1.2e-07,27,8.76309e-11
1.2e-07,3.2e-07,1.2e-07,85,1.58323e-10
1.2e-07,3.2e-07,1.2e-07,125,3.17724e-10
1.6e-07,1.2e-07,1.2e-07,-40,4.8287e-11
1.6e-07,1.2e-07,1.2e-07,0,5.15561e-11
1.6e-07,1.2e-07,1.2e-07,27,5.95789e-11
1.6e-07,1.2e-07,1.2e-07,85,1.31971e-10
1.6e-07,1.2e-07,1.2e-07,125,2.88658e-10
1.6e-07,1.6e-07,1.2e-07,-40,5.49859e-11
1.6e-07,1.6e-07,1.2e-07,0,5.82684e-11
1.6e-07,1.6e-07,1.2e-07,27,6.62567e-11
1.6e-07,1.6e-07,1.2e-07,85,1.38466e-10
1.6e-07,1.6e-07,1.2e-07,125,2.95587e-10
1.6e-07,2e-07,1.2e-07,-40,6.16835e-11
1.6e-07,2e-07,1.2e-07,0,6.50261e-11
1.6e-07,2e-07,1.2e-07,27,7.31233e-11
1.6e-07,2e-07,1.2e-07,85,1.46648e-10
1.6e-07,2e-07,1.2e-07,125,3.07596e-10
1.6e-07,2.4e-07,1.2e-07,-40,6.8379e-11
1.6e-07,2.4e-07,1.2e-07,0,7.1799e-11
