corner,wn_store,wp_store,wn_access,temp,vdd,polarity,qcrit_fC
tt,1.2e-07,1.2e-07,1.2e-07,-40,1,1,8.46875e-15
tt,1.2e-07,1.2e-07,1.2e-07,-40,1,0,1.29688e-14
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.05,1,8.46875e-15
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.05,0,1.29688e-14
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.1,1,8.46875e-15
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.1,0,1.29688e-14
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.15,1,8.46875e-15
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.15,0,1.29688e-14
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.2,1,8.46875e-15
tt,1.2e-07,1.2e-07,1.2e-07,-40,1.2,0,1.29688e-14
tt,1.2e-07,1.2e-07,1.2e-07,0,1,1,7.71875e-15
tt,1.2e-07,1.2e-07,1.2e-07,0,1,0,1.10938e-14
tt,1.2e-07,1.2e-07,1.2e-07,0,1.05,1,7.71875e-15
tt,1.2e-07,1.2e-07,1.2e-07,0,1.05,0,1.10938e-14
tt,1.2e-07,1.2e-07,1.2e-07,0,1.1,1,7.71875e-15
tt,1.2e-07,1.2e-07,1.2e-07,0,1.1,0,1.10938e-14
tt,1.2e-07,1.2e-07,1.2e-07,0,1.15,1,7.71875e-15
tt,1.2e-07,1.2e-07,1.2e-07,0,1.15,0,1.10938e-14
tt,1.2e-07,1.2e-07,1.2e-07,0,1.2,1,7.71875e-15
tt,1.2e-07,1.2e-07,1.2e-07,0,1.2,0,1.10938e-14
tt,1.2e-07,1.2e-07,1.2e-07,27,1,1,7.34375e-15
tt,1.2e-07,1.2e-07,1.2e-07,27,1,0,9.96875e-15
tt,1.2e-07,1.2e-07,1.2e-07,27,1.05,1,7.34375e-15
tt,1.2e-07,1.2e-07,1.2e-07,27,1.05,0,9.96875e-15
