V (V),Q vs QB (V),V (V),QB vs Q (V)
0.000,1.100,1.100,0.000
2.000E-3,1.100,1.100,2.000E-3
4.000E-3,1.100,1.100,4.000E-3
6.000E-3,1.100,1.100,6.000E-3
8.000E-3,1.100,1.100,8.000E-3
10.00E-3,1.100,1.100,10.00E-3
12.00E-3,1.100,1.100,12.00E-3
14.00E-3,1.100,1.100,14.00E-3
16.00E-3,1.100,1.100,16.00E-3
18.00E-3,1.100,1.100,18.00E-3
20.00E-3,1.100,1.100,20.00E-3
22.00E-3,1.100,1.100,22.00E-3
24.00E-3,1.100,1.100,24.00E-3
26.00E-3,1.100,1.100,26.00E-3
28.00E-3,1.100,1.100,28.00E-3
30.00E-3,1.100,1.100,30.00E-3
32.00E-3,1.100,1.100,32.00E-3
34.00E-3,1.100,1.100,34.00E-3
36.00E-3,1.100,1.100,36.00E-3
38.00E-3,1.100,1.100,38.00E-3
40.00E-3,1.100,1.100,40.00E-3
42.00E-3,1.100,1.100,42.00E-3
44.00E-3,1.100,1.100,44.00E-3
46.00E-3,1.100,1.100,46.00E-3
48.00E-3,1.100,1.100,48.00E-3
50.00E-3,1.100,1.100,50.00E-3
52.00E-3,1.100,1.100,52.00E-3
54.00E-3,1.100,1.100,54.00E-3
56.00E-3,1.100,1.100,56.00E-3
58.00E-3,1.100,1.100,58.00E-3
60.00E-3,1.100,1.100,60.00E-3
62.00E-3,1.100,1.100,62.00E-3
64.00E-3,1.100,1.100,64.00E-3
66.00E-3,1.100,1.100,66.00E-3
68.00E-3,1.100,1.100,68.00E-3
70.00E-3,1.100,1.100,70.00E-3
72.00E-3,1.100,1.100,72.00E-3
74.00E-3,1.100,1.100,74.00E-3
76.00E-3,1.100,1.100,76.00E-3
78.00E-3,1.100,1.100,78.00E-3
80.00E-3,1.100,1.100,80.00E-3
82.00E-3,1.100,1.100,82.00E-3
84.00E-3,1.100,1.100,84.00E-3
86.00E-3,1.100,1.100,86.00E-3
88.00E-3,1.100,1.100,88.00E-3
90.00E-3,1.100,1.100,90.00E-3
92.00E-3,1.100,1.100,92.00E-3
94.00E-3,1.100,1.100,94.00E-3
96.00E-3,1.100,1.100,96.00E-3
98.00E-3,1.100,1.100,98.00E-3
100.0E-3,1.100,1.100,100.0E-3
102.0E-3,1.100,1.100,102.0E-3
104.0E-3,1.100,1.100,104.0E-3
106.0E-3,1.100,1.100,106.0E-3
108.0E-3,1.100,1.100,108.0E-3
110.0E-3,1.100,1.100,110.0E-3
112.0E-3,1.100,1.100,112.0E-3
114.0E-3,1.100,1.100,114.0E-3
116.0E-3,1.100,1.100,116.0E-3
118.0E-3,1.100,1.100,118.0E-3
120.0E-3,1.100,1.100,120.0E-3
122.0E-3,1.100,1.100,122.0E-3
124.0E-3,1.100,1.100,124.0E-3
126.0E-3,1.100,1.100,126.0E-3
128.0E-3,1.100,1.100,128.0E-3
130.0E-3,1.100,1.100,130.0E-3
132.0E-3,1.100,1.100,132.0E-3
134.0E-3,1.100,1.100,134.0E-3
136.0E-3,1.100,1.100,136.0E-3
138.0E-3,1.100,1.100,138.0E-3
140.0E-3,1.100,1.100,140.0E-3
142.0E-3,1.100,1.100,142.0E-3
144.0E-3,1.100,1.100,144.0E-3
146.0E-3,1.100,1.100,146.0E-3
148.0E-3,1.100,1.100,148.0E-3
150.0E-3,1.100,1.100,150.0E-3
152.0E-3,1.100,1.100,152.0E-3
154.0E-3,1.100,1.100,154.0E-3
156.0E-3,1.100,1.100,156.0E-3
158.0E-3,1.100,1.100,158.0E-3
160.0E-3,1.100,1.100,160.0E-3
162.0E-3,1.100,1.100,162.0E-3
164.0E-3,1.100,1.100,164.0E-3
166.0E-3,1.100,1.100,166.0E-3
168.0E-3,1.100,1.100,168.0E-3
170.0E-3,1.100,1.100,170.0E-3
172.0E-3,1.100,1.100,172.0E-3
174.0E-3,1.100,1.100,174.0E-3
176.0E-3,1.100,1.100,176.0E-3
178.0E-3,1.100,1.100,178.0E-3
180.0E-3,1.100,1.100,180.0E-3
182.0E-3,1.100,1.100,182.0E-3
184.0E-3,1.100,1.100,184.0E-3
186.0E-3,1.100,1.100,186.0E-3
188.0E-3,1.100,1.100,188.0E-3
190.0E-3,1.100,1.100,190.0E-3
192.0E-3,1.100,1.100,192.0E-3
194.0E-3,1.100,1.100,194.0E-3
196.0E-3,1.100,1.100,196.0E-3
198.0E-3,1.100,1.100,198.0E-3
200.0E-3,1.100,1.100,200.0E-3
202.0E-3,1.100,1.100,202.0E-3
204.0E-3,1.100,1.100,204.0E-3
206.0E-3,1.100,1.100,206.0E-3
208.0E-3,1.100,1.100,208.0E-3
210.0E-3,1.100,1.100,210.0E-3
212.0E-3,1.100,1.100,212.0E-3
214.0E-3,1.100,1.100,214.0E-3
216.0E-3,1.100,1.100,216.0E-3
218.0E-3,1.100,1.100,218.0E-3
220.0E-3,1.100,1.100,220.0E-3
222.0E-3,1.100,1.100,222.0E-3
224.0E-3,1.100,1.100,224.0E-3
226.0E-3,1.100,1.100,226.0E-3
228.0E-3,1.100,1.100,228.0E-3
230.0E-3,1.100,1.100,230.0E-3
232.0E-3,1.100,1.100,232.0E-3
234.0E-3,1.100,1.100,234.0E-3
236.0E-3,1.100,1.100,236.0E-3
238.0E-3,1.100,1.100,238.0E-3
240.0E-3,1.100,1.100,240.0E-3
242.0E-3,1.100,1.100,242.0E-3
244.0E-3,1.100,1.100,244.0E-3
246.0E-3,1.100,1.100,246.0E-3
248.0E-3,1.100,1.100,248.0E-3
250.0E-3,1.100,1.100,250.0E-3
252.0E-3,1.100,1.100,252.0E-3
254.0E-3,1.100,1.100,254.0E-3
256.0E-3,1.100,1.100,256.0E-3
258.0E-3,1.100,1.100,258.0E-3
260.0E-3,1.100,1.100,260.0E-3
262.0E-3,1.100,1.100,262.0E-3
264.0E-3,1.100,1.100,264.0E-3
