Vn ,/QB (V)
0.000,0.000
2.000E-3,2.000E-3
4.000E-3,4.000E-3
6.000E-3,6.000E-3
8.000E-3,8.000E-3
10.00E-3,10.00E-3
12.00E-3,12.00E-3
14.00E-3,14.00E-3
16.00E-3,16.00E-3
18.00E-3,18.00E-3
20.00E-3,20.00E-3
22.00E-3,22.00E-3
24.00E-3,24.00E-3
26.00E-3,26.00E-3
28.00E-3,28.00E-3
30.00E-3,30.00E-3
32.00E-3,32.00E-3
34.00E-3,34.00E-3
36.00E-3,36.00E-3
38.00E-3,38.00E-3
40.00E-3,40.00E-3
42.00E-3,42.00E-3
44.00E-3,44.00E-3
46.00E-3,46.00E-3
48.00E-3,48.00E-3
50.00E-3,50.00E-3
52.00E-3,52.00E-3
54.00E-3,54.00E-3
56.00E-3,56.00E-3
58.00E-3,58.00E-3
60.00E-3,60.00E-3
62.00E-3,62.00E-3
64.00E-3,64.00E-3
66.00E-3,66.00E-3
68.00E-3,68.00E-3
70.00E-3,70.00E-3
72.00E-3,72.00E-3
74.00E-3,74.00E-3
76.00E-3,76.00E-3
78.00E-3,78.00E-3
80.00E-3,80.00E-3
82.00E-3,82.00E-3
84.00E-3,84.00E-3
86.00E-3,86.00E-3
88.00E-3,88.00E-3
90.00E-3,90.00E-3
92.00E-3,92.00E-3
94.00E-3,94.00E-3
96.00E-3,96.00E-3
98.00E-3,98.00E-3
100.0E-3,100.0E-3
102.0E-3,102.0E-3
104.0E-3,104.0E-3
106.0E-3,106.0E-3
108.0E-3,108.0E-3
110.0E-3,110.0E-3
112.0E-3,112.0E-3
114.0E-3,114.0E-3
116.0E-3,116.0E-3
118.0E-3,118.0E-3
120.0E-3,120.0E-3
122.0E-3,122.0E-3
124.0E-3,124.0E-3
126.0E-3,126.0E-3
128.0E-3,128.0E-3
130.0E-3,130.0E-3
132.0E-3,132.0E-3
134.0E-3,134.0E-3
136.0E-3,136.0E-3
138.0E-3,138.0E-3
140.0E-3,140.0E-3
142.0E-3,142.0E-3
144.0E-3,144.0E-3
146.0E-3,146.0E-3
148.0E-3,148.0E-3
150.0E-3,150.0E-3
152.0E-3,152.0E-3
154.0E-3,154.0E-3
156.0E-3,156.0E-3
158.0E-3,158.0E-3
160.0E-3,160.0E-3
162.0E-3,162.0E-3
164.0E-3,164.0E-3
166.0E-3,166.0E-3
168.0E-3,168.0E-3
170.0E-3,170.0E-3
172.0E-3,172.0E-3
174.0E-3,174.0E-3
176.0E-3,176.0E-3
178.0E-3,178.0E-3
180.0E-3,180.0E-3
182.0E-3,182.0E-3
184.0E-3,184.0E-3
186.0E-3,186.0E-3
188.0E-3,188.0E-3
190.0E-3,190.0E-3
192.0E-3,192.0E-3
194.0E-3,194.0E-3
196.0E-3,196.0E-3
198.0E-3,198.0E-3
200.0E-3,200.0E-3
202.0E-3,202.0E-3
204.0E-3,204.0E-3
206.0E-3,206.0E-3
208.0E-3,208.0E-3
210.0E-3,210.0E-3
212.0E-3,212.0E-3
214.0E-3,214.0E-3
216.0E-3,216.0E-3
218.0E-3,218.0E-3
220.0E-3,220.0E-3
222.0E-3,222.0E-3
224.0E-3,224.0E-3
226.0E-3,226.0E-3
228.0E-3,228.0E-3
230.0E-3,230.0E-3
232.0E-3,232.0E-3
234.0E-3,234.0E-3
236.0E-3,236.0E-3
238.0E-3,238.0E-3
240.0E-3,240.0E-3
242.0E-3,242.0E-3
244.0E-3,244.0E-3
246.0E-3,246.0E-3
248.0E-3,248.0E-3
250.0E-3,250.0E-3
252.0E-3,252.0E-3
254.0E-3,254.0E-3
256.0E-3,256.0E-3
258.0E-3,258.0E-3
260.0E-3,260.0E-3
262.0E-3,262.0E-3
264.0E-3,264.0E-3
266.0E-3,266.0E-3
268.0E-3,268.0E-3
270.0E-3,270.0E-3
272.0E-3,272.0E-3
274.0E-3,274.0E-3
276.0E-3,276.0E-3
278.0E-3,278.0E-3
280.0E-3,280.0E-3
282.0E-3,282.0E-3
284.0E-3,284.0E-3
286.0E-3,286.0E-3
288.0E-3,288.0E-3
290.0E-3,290.0E-3
292.0E-3,292.0E-3
294.0E-3,294.0E-3
296.0E-3,296.0E-3
298.0E-3,298.0E-3
300.0E-3,300.0E-3
302.0E-3,302.0E-3
304.0E-3,304.0E-3
306.0E-3,306.0E-3
308.0E-3,308.0E-3
310.0E-3,310.0E-3
312.0E-3,312.0E-3
314.0E-3,314.0E-3
316.0E-3,316.0E-3
318.0E-3,318.0E-3
320.0E-3,320.0E-3
322.0E-3,322.0E-3
324.0E-3,324.0E-3
326.0E-3,326.0E-3
328.0E-3,328.0E-3
330.0E-3,330.0E-3
332.0E-3,332.0E-3
334.0E-3,334.0E-3
336.0E-3,336.0E-3
338.0E-3,338.0E-3
340.0E-3,340.0E-3
342.0E-3,342.0E-3
344.0E-3,344.0E-3
346.0E-3,346.0E-3
348.0E-3,348.0E-3
350.0E-3,350.0E-3
352.0E-3,352.0E-3
354.0E-3,354.0E-3
356.0E-3,356.0E-3
358.0E-3,358.0E-3
360.0E-3,360.0E-3
362.0E-3,362.0E-3
364.0E-3,364.0E-3
366.0E-3,366.0E-3
368.0E-3,368.0E-3
370.0E-3,370.0E-3
372.0E-3,372.0E-3
374.0E-3,374.0E-3
376.0E-3,376.0E-3
378.0E-3,378.0E-3
380.0E-3,380.0E-3
382.0E-3,382.0E-3
384.0E-3,384.0E-3
386.0E-3,386.0E-3
388.0E-3,388.0E-3
390.0E-3,390.0E-3
392.0E-3,392.0E-3
394.0E-3,394.0E-3
396.0E-3,396.0E-3
398.0E-3,398.0E-3
400.0E-3,400.0E-3
402.0E-3,402.0E-3
404.0E-3,404.0E-3
406.0E-3,406.0E-3
408.0E-3,408.0E-3
410.0E-3,410.0E-3
412.0E-3,412.0E-3
414.0E-3,414.0E-3
416.0E-3,416.0E-3
418.0E-3,418.0E-3
420.0E-3,420.0E-3
422.0E-3,422.0E-3
424.0E-3,424.0E-3
426.0E-3,426.0E-3
